Mese,Giorno,Prezzo Medio di Chiusura,STD,N,P10,P90,DOY
8,12,4465.6966552734375,1297.0010911123682,6.0,3131.5250244140625,5895.074951171875,225
8,13,4533.75205078125,1456.1553487352146,5.0,3105.164013671875,6053.7201171875,226
8,14,4525.38408203125,1483.9587939864093,5.0,3053.50009765625,6063.2080078125,227
8,15,4715.1240234375,1363.2750021277723,5.0,3427.41611328125,6087.16796875,228
8,16,4326.434033203125,949.2998847295313,5.0,3455.288037109375,5124.433984375,229
8,17,4118.617492675781,496.217714868296,4.0,3649.6050048828124,4424.764013671875,230
8,18,4578.530029296875,1126.3468323699458,5.0,3747.364111328125,5629.59794921875,231
8,19,4108.20595703125,1036.115815546118,5.0,3104.12998046875,5127.269921875,232
8,20,4081.2025146484375,1198.0492173803477,4.0,3046.010009765625,5250.48505859375,233
8,21,4085.552490234375,1194.1470228808578,4.0,3066.24892578125,5254.52607421875,234
8,22,4254.782531738281,1085.745035867518,4.0,3287.4620361328125,5215.713037109375,235
8,23,4305.197900390625,996.493910665636,5.0,3359.758056640625,5172.57783203125,236
8,24,4108.647521972656,474.01488072902987,4.0,3644.1270263671877,4453.25400390625,237
8,25,4136.1600341796875,478.1402185526075,4.0,3670.2701171875,4469.045947265625,238
8,26,4100.321923828125,1038.9691314400197,5.0,3118.519921875,5158.10390625,239
8,27,4122.219970703125,1209.3276358917235,4.0,3053.776953125,5290.8708984375,240
8,28,4105.360046386719,1177.161003706409,4.0,3073.9609619140624,5244.519140625001,241
8,29,4261.195007324219,1105.5233567762864,4.0,3256.3890869140623,5263.6609375,242
8,30,4320.935986328125,987.3718407890182,5.0,3350.33994140625,5200.55595703125,243
8,31,4121.41259765625,491.14300784412427,4.0,3636.717041015625,4518.174169921875,244
9,1,4133.3399658203125,481.2241066301294,4.0,3658.7099609375,4521.593896484375,245
9,2,4014.0167643229165,484.333398208363,3.0,3649.524072265625,4414.412158203125,246
9,3,4106.422607421875,1165.0772048789674,4.0,3070.90703125,5230.88017578125,247
9,4,3961.603271484375,1371.6551127647965,3.0,3035.616015625,5101.4478515625,248
9,5,4325.413411458333,1272.3947027896832,3.0,3280.166015625,5302.094140625,249
9,6,4190.199951171875,1017.6896438495227,4.0,3257.553955078125,5125.537939453126,250
9,7,4317.013346354167,293.9993429332049,3.0,4074.12412109375,4506.25185546875,251
9,8,4077.39501953125,546.5287434444502,4.0,3534.142041015625,4497.095947265625,252
9,9,4081.81591796875,972.5270136795042,5.0,3146.641943359375,5079.941796875,253
9,10,4068.1699829101562,1141.1400959132004,4.0,3087.3299072265627,5184.438037109375,254
9,11,4095.8724365234375,1161.6988122049058,4.0,3102.941943359375,5234.12890625,255
9,12,4294.409973144531,1065.5567671906972,4.0,3339.8220947265627,5255.601806640625,256
9,13,4300.453955078125,951.3926070584689,5.0,3377.509912109375,5163.10400390625,257
9,14,4069.4249877929688,521.2413787777347,4.0,3552.2810302734374,4486.485009765625,258
9,15,4058.3925170898438,512.6776698077546,4.0,3551.2449951171875,4471.586083984375,259
9,16,4072.723974609375,1032.3189525213147,5.0,3152.97197265625,5169.35390625,260
9,17,4107.570068359375,1185.343271107727,4.0,3111.09296875,5274.103125000001,261
9,18,4099.497375488281,1188.0742789100275,4.0,3100.5519775390626,5268.840771484375,262
9,19,4266.067565917969,1132.397832870719,4.0,3274.7199951171874,5332.733154296875,263
9,20,4262.09599609375,985.0912329994244,5.0,3337.614013671875,5182.4099609375,264
9,21,3938.7949829101562,510.02299657147006,4.0,3433.7210205078127,4346.932958984375,265
9,22,3947.3150634765625,508.22564702970925,4.0,3448.296044921875,4372.96611328125,266
9,23,4017.895947265625,1100.7236822624225,5.0,3089.835986328125,5210.73388671875,267
9,24,4100.400085449219,1265.6658526821543,4.0,3050.5970947265623,5349.6951171875,268
9,25,4085.7574462890625,1234.675957671699,4.0,3078.9470703125,5306.813818359376,269
9,26,4162.8900146484375,1180.2910320876742,4.0,3180.84609375,5303.818017578125,270
9,27,4212.97392578125,1033.0091255517248,5.0,3235.9900390625,5220.1458984375,271
9,28,3930.7425537109375,481.089942687839,4.0,3461.832080078125,4336.7509765625,272
9,29,3905.8624267578125,499.19889974421363,4.0,3426.969970703125,4338.0369140625,273
9,30,3999.076025390625,1098.345690504536,5.0,3131.243994140625,5180.50400390625,274
10,1,4096.710021972656,1226.9707250820613,4.0,3072.4150146484376,5303.23701171875,275
10,2,4058.4900512695312,1245.522586847756,4.0,3025.8530517578124,5283.195068359375,276
10,3,4129.612487792969,1178.3293497766883,4.0,3140.9698974609373,5258.793017578126,277
10,4,4211.6439453125,1017.8547655601566,5.0,3287.577978515625,5170.82587890625,278
10,5,3948.9475708007812,436.83730796112445,4.0,3521.0040771484373,4319.4611328125,279
10,6,3944.3849487304688,479.09566669610183,4.0,3476.0349853515627,4347.03486328125,280
10,7,4018.717919921875,1075.5614689787556,5.0,3131.05,5177.46787109375,281
10,8,4120.5899658203125,1250.6995344881577,4.0,3059.191064453125,5343.19287109375,282
10,9,4131.059997558594,1251.192446327979,4.0,3086.7218994140626,5355.126074218751,283
10,10,4172.202453613281,1218.7573416835578,4.0,3140.4078857421873,5353.506933593751,284
10,11,4222.456005859375,1066.401153156137,5.0,3217.698046875,5239.79794921875,285
10,12,3952.87744140625,459.0406300869711,4.0,3547.06298828125,4350.337890625,286
10,13,3968.3548583984375,440.81594165508363,4.0,3559.32392578125,4352.993798828125,287
10,14,4067.199951171875,1132.7698223654202,5.0,3175.15791015625,5291.21396484375,288
10,15,4191.4124755859375,1244.5078177502926,4.0,3141.977978515625,5412.092871093751,289
